SPKID	Age	Gender	Dialect
5_3055	19	male	shan xi
5_3056	28	female	jiang xi
5_3058	23	female	fu jian
5_3060	33	female	guang xi
5_3064	21	female	guang xi
5_3072	23	female	chong qing
5_3076	24	female	bei jing
5_3081	20	female	guang dong
5_3082	22	female	bei jing
5_3087	20	female	jiang su
5_3090	18	female	shan xi
5_3095	23	female	si chuan
5_3099	26	female	shan dong
5_3102	28	female	hu nan
5_3104	25	female	he bei
5_3107	28	female	shan dong
5_3117	20	female	hei long jiang
5_3118	21	female	jiang su
5_3122	20	female	hu nan
5_3127	22	female	si chuan
5_3130	29	female	shan dong
5_3144	28	female	shan xi
5_3153	30	female	he bei
5_3161	19	female	guang dong
5_3176	22	female	zhe jiang
5_3178	37	male	he bei
5_3180	25	male	bei jing
5_3184	20	female	bei jing
5_3192	36	male	he bei
5_3203	20	female	shan dong
5_3209	18	female	zhe jiang
5_3230	27	female	zhe jiang
5_3231	22	male	shan dong
5_3235	22	female	shan dong
5_3243	19	female	guang dong
5_3244	20	female	shan xi
5_3250	23	female	bei jing
5_3251	23	female	hu bei
5_3255	18	female	jiang su
5_3256	21	female	bei jing
5_3257	23	female	hu nan
5_3258	21	female	fu jian
5_3259	22	female	jiang su
5_3260	19	female	guang dong
5_3264	22	female	hu bei
5_3276	20	female	an hui
5_3283	18	female	jiang su
5_3293	21	female	jiang su
5_3297	55	female	he nan
5_3478	23	male	guang dong
5_3480	17	male	guang dong
5_3483	16	male	guang dong
5_3484	21	male	guang dong
5_3486	16	male	guang dong
5_3544	17	male	guang dong
5_541	28	female	jiang su
5_612	32	female	jiang su
5_645	37	female	jiang su
5_684	28	female	jiang su
5_713	28	female	jiang su
5_800	26	female	jiang su
5_881	26	female	jiang su
5_895	30	male	jiang su
5_941	35	female	jiang su
5_968	39	female	jiang su
5_970	27	female	jiang su
